Site_ID,Date,Temperature_C,pH,Dissolved_Oxygen,Site_ID_FP,Date_FP,Species,Fish_Count,Avg_Size_cm,Fish_Health_Index,Water_Quality_Index,Oxygen_Status,pH_Status,Temperature_Status,Site_Health_Category,Month,Season
AV-2,2023-11-06,15.5,7.63,8.4,AV-2,2023-11-06,Brown Trout,10,18.0,0.3671,0.8175,Good,Alkaline,Optimal,Good,11,Spring
AV-3,2023-10-31,17.3,7.5,9.1,AV-3,2023-10-31,Inanga,25,7.6,0.5013,0.8963,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-11-12,16.1,7.67,7.3,AV-2,2023-11-12,Shortfin Eel,6,40.4,0.5499,0.6391,Good,Alkaline,Optimal,Moderate,11,Spring
AV-1,2023-10-20,14.5,7.18,7.9,AV-1,2023-10-20,Longfin Eel,4,42.5,0.5399,0.782,Good,Neutral,Optimal,Good,10,Spring
AV-2,2023-11-14,16.0,7.56,8.1,AV-2,2023-11-14,Inanga,20,7.3,0.4146,0.769,Good,Alkaline,Optimal,Good,11,Spring
AV-3,2023-11-01,17.2,7.34,7.8,AV-3,2023-11-01,Brown Trout,11,17.9,0.3827,0.7194,Good,Neutral,Optimal,Good,11,Spring
AV-1,2023-10-08,13.8,7.28,6.9,AV-1,2023-10-08,Shortfin Eel,3,38.8,0.4821,0.6113,Moderate,Neutral,Optimal,Moderate,10,Spring
AV-2,2023-10-24,15.6,7.58,8.3,AV-2,2023-10-24,Unknown,26,8.1,0.5235,0.805,Good,Alkaline,Optimal,Good,10,Spring
AV-3,2023-10-13,16.4,7.44,7.7,AV-3,2023-10-13,Longfin Eel,7,42.7,0.5922,0.7121,Good,Neutral,Optimal,Good,10,Spring
AV-1,2023-10-07,14.2,7.23,7.5,AV-1,2023-10-07,Inanga,22,7.1,0.4457,0.7124,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-10-29,16.5,7.51,9.2,AV-3,2023-10-29,Shortfin Eel,6,41.6,0.5633,0.9263,Good,Alkaline,Optimal,Good,10,Spring
AV-1,2023-10-24,14.0,7.09,6.8,AV-1,2023-10-24,Longfin Eel,5,43.0,0.5622,0.6167,Moderate,Neutral,Optimal,Moderate,10,Spring
AV-2,2023-11-07,15.3,7.6,8.4,AV-2,2023-11-07,Inanga,18,7.4,0.3824,0.8241,Good,Alkaline,Optimal,Good,11,Spring
AV-1,2023-10-06,13.9,7.22,7.7,AV-1,2023-10-06,Brown Trout,10,18.5,0.3727,0.7369,Good,Neutral,Optimal,Good,10,Spring
AV-3,2023-11-06,18.2,7.39,8.0,AV-3,2023-11-06,Inanga,24,8.3,0.4924,0.7248,Good,Neutral,Warm,Good,11,Spring
AV-2,2023-12-07,20.7,7.37,8.8,AV-2,2023-12-07,Longfin Eel,11,44.9,0.6833,0.795,Good,Neutral,Warm,Good,12,Summer
AV-2,2023-12-14,16.3,7.68,8.0,AV-2,2023-12-14,Longfin Eel,19,44.9,0.8167,0.7379,Good,Alkaline,Optimal,Good,12,Summer
AV-1,2023-12-05,18.9,7.59,7.8,AV-1,2023-12-05,Longfin Eel,10,41.7,0.631,0.664,Good,Alkaline,Warm,Good,12,Summer
AV-3,2023-12-23,20.3,7.74,7.2,AV-3,2023-12-23,Inanga,20,8.4,0.4269,0.5343,Good,Alkaline,Warm,Moderate,12,Summer
AV-2,2023-12-19,18.7,7.39,9.1,AV-2,2023-12-19,Brown Trout,20,19.4,0.5494,0.8778,Good,Neutral,Warm,Good,12,Summer
AV-2,2023-12-13,17.9,7.12,6.9,AV-2,2023-12-13,Inanga,6,7.9,0.188,0.591,Moderate,Neutral,Optimal,Moderate,12,Summer
AV-3,2023-12-20,18.1,7.445,7.1,AV-3,2023-12-20,Longfin Eel,12,42.4,0.6722,0.5887,Good,Neutral,Warm,Moderate,12,Summer
AV-3,2023-12-07,20.0,7.52,7.9,AV-3,2023-12-07,Inanga,16,8.0,0.3558,0.6628,Good,Alkaline,Warm,Good,12,Summer
AV-1,2023-12-28,15.6,7.68,9.0,AV-1,2023-12-28,Brown Trout,3,16.9,0.2382,0.9001,Good,Alkaline,Optimal,Good,12,Summer
AV-3,2023-12-15,17.9,7.59,7.4,AV-3,2023-12-15,Shortfin Eel,5,39.6,0.5243,0.6248,Good,Alkaline,Optimal,Moderate,12,Summer
AV-3,2023-12-07,21.0,7.79,7.2,AV-3,2023-12-07,Brown Trout,19,17.5,0.5115,0.516,Good,Alkaline,Warm,Moderate,12,Summer
AV-1,2023-12-26,19.4,7.64,9.0,AV-1,2023-12-26,Inanga,15,6.9,0.3268,0.8275,Good,Alkaline,Warm,Good,12,Summer
AV-2,2023-12-15,18.6,7.67,7.9,AV-2,2023-12-15,Inanga,3,7.2,0.1302,0.678,Good,Alkaline,Warm,Good,12,Summer
AV-2,2023-12-11,16.0,7.04,6.7,AV-2,2023-12-11,Brown Trout,17,18.7,0.4916,0.6062,Moderate,Neutral,Optimal,Moderate,12,Summer
AV-3,2023-12-04,20.1,7.39,6.7,AV-3,2023-12-04,Longfin Eel,7,41.3,0.5766,0.4942,Moderate,Neutral,Warm,Moderate,12,Summer
AV-3,2023-12-29,14.1,7.48,6.9,AV-3,2023-12-29,Brown Trout,20,16.9,0.5215,0.6001,Moderate,Neutral,Optimal,Moderate,12,Summer
AV-3,2023-12-19,20.7,7.26,7.2,AV-3,2023-12-19,Inanga,5,7.1,0.1624,0.5674,Good,Neutral,Warm,Moderate,12,Summer
AV-2,2023-12-18,15.5,7.67,7.3,AV-2,2023-12-18,Longfin Eel,16,44.7,0.7644,0.6511,Good,Alkaline,Optimal,Good,12,Summer
AV-3,2023-12-22,14.6,7.31,6.9,AV-3,2023-12-22,Brown Trout,22,16.6,0.5515,0.6247,Moderate,Neutral,Optimal,Moderate,12,Summer
AV-3,2023-12-24,20.2,7.1,8.6,AV-3,2023-12-24,Brown Trout,7,17.2,0.3082,0.7985,Good,Neutral,Warm,Good,12,Summer
